,material,Cell type,test,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,viability (%)
1853,2,13,7,0.23404255319148934,0.0625,0.08705180211684618,0.7134146341463415,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.09084089843583515
1854,2,13,7,0.23404255319148934,0.00625,0.08705180211684618,0.7134146341463415,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.2444614925627584
1855,2,13,7,0.23404255319148934,0.0125,0.08705180211684618,0.7134146341463415,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.19457017431700976
1856,2,13,7,0.23404255319148934,0.025,0.08705180211684618,0.7134146341463415,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.1575118271320803
1857,2,13,7,0.23404255319148934,0.05,0.08705180211684618,0.7134146341463415,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.10476921109832503
1858,2,13,7,0.23404255319148934,0.0625,0.08705180211684618,0.7134146341463415,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.08980096321868475
1859,2,13,7,0.23404255319148934,0.0625,0.016738937846785103,0.4929268292682927,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.3813749307420194
1860,2,13,7,0.23404255319148934,0.125,0.016738937846785103,0.4929268292682927,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.3317222861526659
1861,2,13,7,0.23404255319148934,0.1875,0.016738937846785103,0.4929268292682927,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.20068618676213615
1862,2,13,7,0.23404255319148934,0.25,0.016738937846785103,0.4929268292682927,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.15034309338106808
1863,2,13,7,0.23404255319148934,0.3125,0.016738937846785103,0.4929268292682927,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.13586071687337511
1864,2,13,7,0.23404255319148934,0.00625,0.016738937846785103,0.4929268292682927,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.39454886416911733
1865,2,13,7,0.23404255319148934,0.03125,0.016738937846785103,0.4929268292682927,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.30401056983335467
1866,13,50,1,0.23404255319148934,0.0625,0.016738937846785103,0.4929268292682927,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.20169202574265868
1867,13,50,1,0.23404255319148934,0.09375,0.016738937846785103,0.4929268292682927,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.12881984400971744
1868,13,50,1,0.23404255319148934,0.125,0.016738937846785103,0.4929268292682927,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.09863615053488473
1869,13,50,1,0.23404255319148934,0.15625,0.016738937846785103,0.4929268292682927,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.054473000042620304
1870,13,50,1,0.23404255319148934,0.03125,0.04900452277707839,0.48008130081300815,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.3747091164812684
1871,13,50,1,0.23404255319148934,0.0625,0.04900452277707839,0.48008130081300815,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.3489621957976388
1872,13,50,1,0.23404255319148934,0.125,0.04900452277707839,0.48008130081300815,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.33142820611175045
1873,13,50,1,0.23404255319148934,0.25,0.04900452277707839,0.48008130081300815,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.24158888462685932
1874,13,50,1,0.23404255319148934,0.5,0.04900452277707839,0.48008130081300815,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.1731108553893364
1875,15,50,1,0.23404255319148934,0.000125,0.056240966102485204,0.5095121951219512,0.6,0.7870129870129874,0.26393154892496706,0.4782608695652175,0.19968887184077058
1876,15,50,1,0.23404255319148934,0.00025,0.056240966102485204,0.5095121951219512,0.6,0.7870129870129874,0.26393154892496706,0.4782608695652175,0.3049993606955632
1877,15,50,1,0.23404255319148934,0.00125,0.056240966102485204,0.5095121951219512,0.6,0.7870129870129874,0.26393154892496706,0.4782608695652175,0.3218855218855219
1878,15,50,1,0.23404255319148934,0.0025,0.056240966102485204,0.5095121951219512,0.6,0.7870129870129874,0.26393154892496706,0.4782608695652175,0.33877594510505904
1879,15,50,1,0.23404255319148934,0.0125,0.056240966102485204,0.5095121951219512,0.6,0.7870129870129874,0.26393154892496706,0.4782608695652175,0.30897157226271155
1880,15,50,1,0.23404255319148934,0.025,0.056240966102485204,0.5095121951219512,0.6,0.7870129870129874,0.26393154892496706,0.4782608695652175,0.008941311852704258
