,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,x,rox,radii
2474,NR8383,AlamarBlue,C,96,1.0,126.34,61.06,-32.7,0.0,2.55,0.0,0.7
2475,NR8383,AlamarBlue,C,96,5.0,111.89,61.06,-32.7,0.0,2.55,0.0,0.7
2476,NR8383,AlamarBlue,C,96,10.0,113.05,61.06,-32.7,0.0,2.55,0.0,0.7
2477,NR8383,AlamarBlue,C,96,15.0,100.7,61.06,-32.7,0.0,2.55,0.0,0.7
2478,NR8383,AlamarBlue,C,96,20.0,71.562,61.06,-32.7,0.0,2.55,0.0,0.7
2479,NR8383,AlamarBlue,C,96,25.0,40.093,61.06,-32.7,0.0,2.55,0.0,0.7
2480,NR8383,AlamarBlue,C,24,25.0,100.34,29.57,-33.33,0.0,2.55,0.0,0.7
2481,NR8383,AlamarBlue,C,24,50.0,64.655,29.57,-33.33,0.0,2.55,0.0,0.7
2482,NR8383,AlamarBlue,C,24,100.0,33.966,29.57,-33.33,0.0,2.55,0.0,0.7
2483,NR8383,AlamarBlue,C,24,200.0,23.103,29.57,-33.33,0.0,2.55,0.0,0.7
2484,NR8383,AlamarBlue,C,24,400.0,9.1379,29.57,-33.33,0.0,2.55,0.0,0.7
2485,NR8383,AlamarBlue,C,24,600.0,5.1724,29.57,-33.33,0.0,2.55,0.0,0.7
2486,NR8383,AlamarBlue,C,24,800.0,6.7241,29.57,-33.33,0.0,2.55,0.0,0.7
2487,NR8383,AlamarBlue,C,24,1000.0,4.4828,29.57,-33.33,0.0,2.55,0.0,0.7
2488,NR8383,AlamarBlue,C,48,25.0,61.897,29.57,-33.33,0.0,2.55,0.0,0.7
2489,RAW264.7,WST-1,C,48,50.0,38.103,29.57,-33.33,0.0,2.55,0.0,0.7
2490,RAW264.7,WST-1,C,48,100.0,22.069,29.57,-33.33,0.0,2.55,0.0,0.7
2491,RAW264.7,WST-1,C,48,200.0,14.31,29.57,-33.33,0.0,2.55,0.0,0.7
2492,RAW264.7,WST-1,C,48,400.0,9.1379,29.57,-33.33,0.0,2.55,0.0,0.7
2493,RAW264.7,WST-1,C,48,600.0,4.8276,29.57,-33.33,0.0,2.55,0.0,0.7
2494,RAW264.7,WST-1,C,48,800.0,5.1724,29.57,-33.33,0.0,2.55,0.0,0.7
2495,RAW264.7,WST-1,C,48,1000.0,3.7931,29.57,-33.33,0.0,2.55,0.0,0.7
2496,RAW264.7,WST-1,C,72,25.0,54.828,29.57,-33.33,0.0,2.55,0.0,0.7
2497,RAW264.7,WST-1,C,72,50.0,35.0,29.57,-33.33,0.0,2.55,0.0,0.7
2498,RAW264.7,WST-1,C,72,100.0,16.724,29.57,-33.33,0.0,2.55,0.0,0.7
2499,RAW264.7,WST-1,C,72,200.0,8.1034,29.57,-33.33,0.0,2.55,0.0,0.7
2500,RAW264.7,WST-1,C,72,400.0,4.4828,29.57,-33.33,0.0,2.55,0.0,0.7
2501,RAW264.7,WST-1,C,72,600.0,4.4828,29.57,-33.33,0.0,2.55,0.0,0.7
2502,RAW264.7,WST-1,C,72,800.0,3.7931,29.57,-33.33,0.0,2.55,0.0,0.7
2503,RAW264.7,WST-1,C,72,1000.0,2.7586,29.57,-33.33,0.0,2.55,0.0,0.7
2504,Macrophages,WST-1,C,24,20.0,92.346,29.57,-33.33,0.0,2.55,0.0,0.7
2505,Macrophages,WST-1,C,24,40.0,57.571,29.57,-33.33,0.0,2.55,0.0,0.7
2506,Macrophages,WST-1,C,24,60.0,50.749,29.57,-33.33,0.0,2.55,0.0,0.7
2507,Macrophages,WST-1,C,24,80.0,48.087,29.57,-33.33,0.0,2.55,0.0,0.7
